government,government_level,tax,revenue_category,year,power_code_code,value
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2011,600000,555.774
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2012,600000,453.121
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2013,600000,595.386
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2014,600000,877.085
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2015,600000,1125.516
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2016,600000,982.818
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2017,600000,783.81
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2018,600000,954.868
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2019,600000,876.818
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2020,600000,858.206
FED,Federal or Central government,1210_L01_LSO,Corporate income tax,2021,600000,881.489
NES,Total,1210_L01_LSO,Corporate income tax,2004,600000,218.805
NES,Total,1210_L01_LSO,Corporate income tax,2005,600000,188.887
NES,Total,1210_L01_LSO,Corporate income tax,2006,600000,201.248
NES,Total,1210_L01_LSO,Corporate income tax,2007,600000,272.464
NES,Total,1210_L01_LSO,Corporate income tax,2008,600000,383.27
NES,Total,1210_L01_LSO,Corporate income tax,2009,600000,693.983
NES,Total,1210_L01_LSO,Corporate income tax,2010,600000,471.865
NES,Total,1210_L01_LSO,Corporate income tax,2011,600000,555.774
NES,Total,1210_L01_LSO,Corporate income tax,2012,600000,453.121
NES,Total,1210_L01_LSO,Corporate income tax,2013,600000,595.386
NES,Total,1210_L01_LSO,Corporate income tax,2014,600000,877.085
NES,Total,1210_L01_LSO,Corporate income tax,2015,600000,1125.516
NES,Total,1210_L01_LSO,Corporate income tax,2016,600000,982.818
NES,Total,1210_L01_LSO,Corporate income tax,2017,600000,783.81
NES,Total,1210_L01_LSO,Corporate income tax,2018,600000,954.868
NES,Total,1210_L01_LSO,Corporate income tax,2019,600000,876.818
NES,Total,1210_L01_LSO,Corporate income tax,2020,600000,858.206
NES,Total,1210_L01_LSO,Corporate income tax,2021,600000,881.489
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2004,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2005,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2006,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2007,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2008,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2009,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2010,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2011,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2012,600000,0.0
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2013,600000,6.895
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2014,600000,6.921
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2015,600000,7.588
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2016,600000,7.746
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2017,600000,6.967
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2018,600000,3.756
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2019,600000,7.13
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2020,600000,3.459
FED,Federal or Central government,1210_L02_LSO,Gambling levy,2021,600000,3.775
NES,Total,1210_L02_LSO,Gambling levy,2004,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2005,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2006,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2007,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2008,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2009,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2010,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2011,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2012,600000,0.0
NES,Total,1210_L02_LSO,Gambling levy,2013,600000,6.895
NES,Total,1210_L02_LSO,Gambling levy,2014,600000,6.921
NES,Total,1210_L02_LSO,Gambling levy,2015,600000,7.588
NES,Total,1210_L02_LSO,Gambling levy,2016,600000,7.746
NES,Total,1210_L02_LSO,Gambling levy,2017,600000,6.967
NES,Total,1210_L02_LSO,Gambling levy,2018,600000,3.756
NES,Total,1210_L02_LSO,Gambling levy,2019,600000,7.13
NES,Total,1210_L02_LSO,Gambling levy,2020,600000,3.459
NES,Total,1210_L02_LSO,Gambling levy,2021,600000,3.775
FED,Federal or Central government,1220,1220 On capital gains of corporates,2004,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2005,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2006,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2007,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2008,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2009,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2010,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2011,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2012,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2013,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2014,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2015,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2016,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2017,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2018,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2019,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2020,600000,0.0
FED,Federal or Central government,1220,1220 On capital gains of corporates,2021,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2004,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2005,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2006,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2007,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2008,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2009,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2010,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2011,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2012,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2013,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2014,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2015,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2016,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2017,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2018,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2019,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2020,600000,0.0
NES,Total,1220,1220 On capital gains of corporates,2021,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2004,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2005,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2006,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2007,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2008,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2009,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2010,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2011,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2012,600000,0.0
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2013,600000,15.287
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2014,600000,22.821
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2015,600000,34.087
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2016,600000,48.174
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2017,600000,33.419
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2018,600000,33.225
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2019,600000,29.26
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2020,600000,30.593
FED,Federal or Central government,1300,1300 Unallocable between 1100 and 1200,2021,600000,40.64
NES,Total,1300,1300 Unallocable between 1100 and 1200,2004,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2005,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2006,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2007,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2008,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2009,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2010,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2011,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2012,600000,0.0
NES,Total,1300,1300 Unallocable between 1100 and 1200,2013,600000,15.287
NES,Total,1300,1300 Unallocable between 1100 and 1200,2014,600000,22.821
NES,Total,1300,1300 Unallocable between 1100 and 1200,2015,600000,34.087
NES,Total,1300,1300 Unallocable between 1100 and 1200,2016,600000,48.174
NES,Total,1300,1300 Unallocable between 1100 and 1200,2017,600000,33.419
NES,Total,1300,1300 Unallocable between 1100 and 1200,2018,600000,33.225
NES,Total,1300,1300 Unallocable between 1100 and 1200,2019,600000,29.26
NES,Total,1300,1300 Unallocable between 1100 and 1200,2020,600000,30.593
NES,Total,1300,1300 Unallocable between 1100 and 1200,2021,600000,40.64
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2004,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2005,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2006,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2007,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2008,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2009,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2010,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2011,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2012,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2013,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2014,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2015,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2016,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2017,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2018,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2019,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2020,600000,0.0
FED,Federal or Central government,2000,2000 Social security contributions (SSC),2021,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2004,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2005,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2006,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2007,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2008,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2009,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2010,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2011,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2012,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2013,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2014,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2015,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2016,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2017,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2018,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2019,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2020,600000,0.0
NES,Total,2000,2000 Social security contributions (SSC),2021,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2004,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2005,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2006,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2007,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2008,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2009,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2010,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2011,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2012,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2013,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2014,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2015,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2016,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2017,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2018,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2019,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2020,600000,0.0
FED,Federal or Central government,3000,3000 Taxes on payroll and workforce,2021,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2004,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2005,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2006,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2007,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2008,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2009,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2010,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2011,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2012,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2013,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2014,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2015,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2016,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2017,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2018,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2019,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2020,600000,0.0
NES,Total,3000,3000 Taxes on payroll and workforce,2021,600000,0.0
FED,Federal or Central government,5000,5000 Taxes on goods and services,2004,600000,659.816
FED,Federal or Central government,5000,5000 Taxes on goods and services,2005,600000,655.654
FED,Federal or Central government,5000,5000 Taxes on goods and services,2006,600000,714.585
FED,Federal or Central government,5000,5000 Taxes on goods and services,2007,600000,847.873
FED,Federal or Central government,5000,5000 Taxes on goods and services,2008,600000,987.716
FED,Federal or Central government,5000,5000 Taxes on goods and services,2009,600000,1034.976
FED,Federal or Central government,5000,5000 Taxes on goods and services,2010,600000,1281.187
FED,Federal or Central government,5000,5000 Taxes on goods and services,2011,600000,1369.552
FED,Federal or Central government,5000,5000 Taxes on goods and services,2012,600000,1640.425
FED,Federal or Central government,5000,5000 Taxes on goods and services,2013,600000,1732.3
FED,Federal or Central government,5000,5000 Taxes on goods and services,2014,600000,2116.794
FED,Federal or Central government,5000,5000 Taxes on goods and services,2015,600000,2220.954
FED,Federal or Central government,5000,5000 Taxes on goods and services,2016,600000,2260.606
FED,Federal or Central government,5000,5000 Taxes on goods and services,2017,600000,2519.342
FED,Federal or Central government,5000,5000 Taxes on goods and services,2018,600000,3185.484
FED,Federal or Central government,5000,5000 Taxes on goods and services,2019,600000,3192.119
FED,Federal or Central government,5000,5000 Taxes on goods and services,2020,600000,3027.748
FED,Federal or Central government,5000,5000 Taxes on goods and services,2021,600000,3665.242
NES,Total,5000,5000 Taxes on goods and services,2004,600000,659.816
NES,Total,5000,5000 Taxes on goods and services,2005,600000,655.654
NES,Total,5000,5000 Taxes on goods and services,2006,600000,714.585
NES,Total,5000,5000 Taxes on goods and services,2007,600000,847.873
NES,Total,5000,5000 Taxes on goods and services,2008,600000,987.716
NES,Total,5000,5000 Taxes on goods and services,2009,600000,1034.976
NES,Total,5000,5000 Taxes on goods and services,2010,600000,1281.187
NES,Total,5000,5000 Taxes on goods and services,2011,600000,1369.552
NES,Total,5000,5000 Taxes on goods and services,2012,600000,1640.425
NES,Total,5000,5000 Taxes on goods and services,2013,600000,1732.3
NES,Total,5000,5000 Taxes on goods and services,2014,600000,2116.794
NES,Total,5000,5000 Taxes on goods and services,2015,600000,2220.954
NES,Total,5000,5000 Taxes on goods and services,2016,600000,2260.606
NES,Total,5000,5000 Taxes on goods and services,2017,600000,2519.342
NES,Total,5000,5000 Taxes on goods and services,2018,600000,3185.484
NES,Total,5000,5000 Taxes on goods and services,2019,600000,3192.119
NES,Total,5000,5000 Taxes on goods and services,2020,600000,3027.748
NES,Total,5000,5000 Taxes on goods and services,2021,600000,3665.242
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2004,600000,659.816
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2005,600000,655.654
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2006,600000,714.585
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2007,600000,847.873
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2008,600000,987.716
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2009,600000,1034.976
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2010,600000,1281.187
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2011,600000,1369.552
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2012,600000,1640.425
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2013,600000,1732.3
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2014,600000,2116.794
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2015,600000,2220.954
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2016,600000,2260.606
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2017,600000,2519.342
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2018,600000,3185.484
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2019,600000,3192.119
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2020,600000,3027.748
FED,Federal or Central government,5100,"5100 Taxes on production, sale, transfer, etc",2021,600000,3665.242
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2004,600000,659.816
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2005,600000,655.654
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2006,600000,714.585
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2007,600000,847.873
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2008,600000,987.716
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2009,600000,1034.976
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2010,600000,1281.187
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2011,600000,1369.552
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2012,600000,1640.425
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2013,600000,1732.3
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2014,600000,2116.794
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2015,600000,2220.954
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2016,600000,2260.606
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2017,600000,2519.342
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2018,600000,3185.484
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2019,600000,3192.119
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2020,600000,3027.748
NES,Total,5100,"5100 Taxes on production, sale, transfer, etc",2021,600000,3665.242
FED,Federal or Central government,5110,5110 General taxes on goods and services,2004,600000,659.816
FED,Federal or Central government,5110,5110 General taxes on goods and services,2005,600000,655.654
FED,Federal or Central government,5110,5110 General taxes on goods and services,2006,600000,714.585
FED,Federal or Central government,5110,5110 General taxes on goods and services,2007,600000,847.873
FED,Federal or Central government,5110,5110 General taxes on goods and services,2008,600000,987.716
FED,Federal or Central government,5110,5110 General taxes on goods and services,2009,600000,1034.976
FED,Federal or Central government,5110,5110 General taxes on goods and services,2010,600000,1281.187
FED,Federal or Central government,5110,5110 General taxes on goods and services,2011,600000,1369.552
FED,Federal or Central government,5110,5110 General taxes on goods and services,2012,600000,1640.425
FED,Federal or Central government,5110,5110 General taxes on goods and services,2013,600000,1732.3
FED,Federal or Central government,5110,5110 General taxes on goods and services,2014,600000,2116.794
FED,Federal or Central government,5110,5110 General taxes on goods and services,2015,600000,2210.184
FED,Federal or Central government,5110,5110 General taxes on goods and services,2016,600000,2253.986
FED,Federal or Central government,5110,5110 General taxes on goods and services,2017,600000,2414.009
FED,Federal or Central government,5110,5110 General taxes on goods and services,2018,600000,2880.249
FED,Federal or Central government,5110,5110 General taxes on goods and services,2019,600000,2906.641
FED,Federal or Central government,5110,5110 General taxes on goods and services,2020,600000,2607.66
FED,Federal or Central government,5110,5110 General taxes on goods and services,2021,600000,3121.55
NES,Total,5110,5110 General taxes on goods and services,2004,600000,659.816
NES,Total,5110,5110 General taxes on goods and services,2005,600000,655.654
NES,Total,5110,5110 General taxes on goods and services,2006,600000,714.585
NES,Total,5110,5110 General taxes on goods and services,2007,600000,847.873
NES,Total,5110,5110 General taxes on goods and services,2008,600000,987.716
NES,Total,5110,5110 General taxes on goods and services,2009,600000,1034.976
NES,Total,5110,5110 General taxes on goods and services,2010,600000,1281.187
NES,Total,5110,5110 General taxes on goods and services,2011,600000,1369.552
NES,Total,5110,5110 General taxes on goods and services,2012,600000,1640.425
NES,Total,5110,5110 General taxes on goods and services,2013,600000,1732.3
NES,Total,5110,5110 General taxes on goods and services,2014,600000,2116.794
NES,Total,5110,5110 General taxes on goods and services,2015,600000,2210.184
NES,Total,5110,5110 General taxes on goods and services,2016,600000,2253.986
NES,Total,5110,5110 General taxes on goods and services,2017,600000,2414.009
NES,Total,5110,5110 General taxes on goods and services,2018,600000,2880.249
NES,Total,5110,5110 General taxes on goods and services,2019,600000,2906.641
NES,Total,5110,5110 General taxes on goods and services,2020,600000,2607.66
NES,Total,5110,5110 General taxes on goods and services,2021,600000,3121.55
FED,Federal or Central government,5111,5111 Value added taxes,2004,600000,659.816
FED,Federal or Central government,5111,5111 Value added taxes,2005,600000,655.654
FED,Federal or Central government,5111,5111 Value added taxes,2006,600000,714.585
FED,Federal or Central government,5111,5111 Value added taxes,2007,600000,847.873
FED,Federal or Central government,5111,5111 Value added taxes,2008,600000,987.716
FED,Federal or Central government,5111,5111 Value added taxes,2009,600000,1034.976
FED,Federal or Central government,5111,5111 Value added taxes,2010,600000,1281.187
FED,Federal or Central government,5111,5111 Value added taxes,2011,600000,1369.552
FED,Federal or Central government,5111,5111 Value added taxes,2012,600000,1640.425
FED,Federal or Central government,5111,5111 Value added taxes,2013,600000,1732.3
FED,Federal or Central government,5111,5111 Value added taxes,2014,600000,2116.794
FED,Federal or Central government,5111,5111 Value added taxes,2015,600000,2210.184
FED,Federal or Central government,5111,5111 Value added taxes,2016,600000,2253.986
FED,Federal or Central government,5111,5111 Value added taxes,2017,600000,2414.009
FED,Federal or Central government,5111,5111 Value added taxes,2018,600000,2880.249
FED,Federal or Central government,5111,5111 Value added taxes,2019,600000,2906.641
FED,Federal or Central government,5111,5111 Value added taxes,2020,600000,2607.66
FED,Federal or Central government,5111,5111 Value added taxes,2021,600000,3121.55
NES,Total,5111,5111 Value added taxes,2004,600000,659.816
NES,Total,5111,5111 Value added taxes,2005,600000,655.654
NES,Total,5111,5111 Value added taxes,2006,600000,714.585
NES,Total,5111,5111 Value added taxes,2007,600000,847.873
NES,Total,5111,5111 Value added taxes,2008,600000,987.716
NES,Total,5111,5111 Value added taxes,2009,600000,1034.976
NES,Total,5111,5111 Value added taxes,2010,600000,1281.187
NES,Total,5111,5111 Value added taxes,2011,600000,1369.552
NES,Total,5111,5111 Value added taxes,2012,600000,1640.425
NES,Total,5111,5111 Value added taxes,2013,600000,1732.3
NES,Total,5111,5111 Value added taxes,2014,600000,2116.794
NES,Total,5111,5111 Value added taxes,2015,600000,2210.184
NES,Total,5111,5111 Value added taxes,2016,600000,2253.986
NES,Total,5111,5111 Value added taxes,2017,600000,2414.009
NES,Total,5111,5111 Value added taxes,2018,600000,2880.249
NES,Total,5111,5111 Value added taxes,2019,600000,2906.641
NES,Total,5111,5111 Value added taxes,2020,600000,2607.66
NES,Total,5111,5111 Value added taxes,2021,600000,3121.55
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2004,600000,246.661
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2005,600000,252.172
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2006,600000,270.351
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2007,600000,319.629
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2008,600000,368.742
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2009,600000,362.632
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2010,600000,473.487
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2011,600000,495.676
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2012,600000,568.796
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2013,600000,552.048
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2014,600000,705.095
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2015,600000,780.074
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2016,600000,798.186
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2017,600000,795.215
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2018,600000,880.346
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2019,600000,896.008
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2020,600000,661.731
FED,Federal or Central government,5111_L01_LSO,VAT on imports,2021,600000,840.805
NES,Total,5111_L01_LSO,VAT on imports,2004,600000,246.661
NES,Total,5111_L01_LSO,VAT on imports,2005,600000,252.172
NES,Total,5111_L01_LSO,VAT on imports,2006,600000,270.351
NES,Total,5111_L01_LSO,VAT on imports,2007,600000,319.629
NES,Total,5111_L01_LSO,VAT on imports,2008,600000,368.742
NES,Total,5111_L01_LSO,VAT on imports,2009,600000,362.632
NES,Total,5111_L01_LSO,VAT on imports,2010,600000,473.487
NES,Total,5111_L01_LSO,VAT on imports,2011,600000,495.676
NES,Total,5111_L01_LSO,VAT on imports,2012,600000,568.796
NES,Total,5111_L01_LSO,VAT on imports,2013,600000,552.048
NES,Total,5111_L01_LSO,VAT on imports,2014,600000,705.095
NES,Total,5111_L01_LSO,VAT on imports,2015,600000,780.074
